"id","data","target"
62,"[[400, 202, 34.71320724487305], [293, 198, 8.544103622436523], [293, 198, 8.544103622436523], [293, 198, 8.544103622436523], [293, 198, 8.544103622436523], [293, 198, 8.544103622436523], [297, 129, 8.544103622436523], [297, 129, 8.544103622436523], [297, 129, 8.544103622436523], [300, 109, 8.077847480773926]]",29
63,"[[460, 419, 41.90773391723633], [282, 216, 7.905794143676758], [282, 216, 7.905794143676758], [282, 216, 7.905794143676758], [282, 195, 8.381627082824707], [282, 195, 8.381627082824707], [282, 195, 8.381627082824707], [283, 175, 7.905794143676758], [283, 175, 7.905794143676758], [283, 175, 7.905794143676758]]",86
64,"[[362, 307, 42.63914108276367], [284, 214, 8.381627082824707], [284, 214, 8.381627082824707], [284, 214, 8.381627082824707], [284, 214, 8.381627082824707], [284, 214, 8.381627082824707], [286, 193, 8.077847480773926], [286, 193, 8.077847480773926], [286, 193, 8.077847480773926], [286, 193, 8.077847480773926]]",98
65,"[[398, 426, 21.70424461364746], [294, 212, 7.905794143676758], [294, 212, 7.905794143676758], [294, 212, 7.905794143676758], [326, 83, 7.826338291168213], [334, 82, 8.758015632629395], [334, 82, 8.758015632629395], [334, 82, 8.758015632629395], [334, 82, 8.758015632629395], [334, 82, 8.758015632629395]]",90
66,"[[459, 297, 27.189250946044922], [305, 101, 7.615873336791992], [305, 101, 7.615873336791992], [305, 101, 7.615873336791992], [305, 101, 7.615873336791992], [305, 101, 7.615873336791992], [305, 101, 7.615873336791992], [308, 93, 7.905794143676758], [308, 93, 7.905794143676758], [308, 93, 7.905794143676758]]",92
67,"[[435, 429, 25.495311737060547], [290, 204, 7.615873336791992], [290, 204, 7.615873336791992], [290, 204, 7.615873336791992], [290, 204, 7.615873336791992], [290, 204, 7.615873336791992], [290, 204, 7.615873336791992], [292, 184, 7.615873336791992], [292, 184, 7.615873336791992], [292, 184, 7.615873336791992]]",51
68,"[[447, 146, 40.22446823120117], [285, 191, 7.762187480926514], [285, 191, 7.762187480926514], [285, 191, 7.762187480926514], [286, 168, 7.762187480926514], [286, 168, 7.762187480926514], [286, 168, 7.762187480926514], [286, 168, 7.762187480926514], [288, 146, 8.077847480773926], [288, 146, 8.077847480773926]]",63
69,"[[368, 129, 43.320796966552734], [280, 200, 7.615873336791992], [280, 200, 7.615873336791992], [280, 200, 7.615873336791992], [280, 178, 7.905794143676758], [280, 178, 7.905794143676758], [280, 178, 7.905794143676758], [280, 178, 7.905794143676758], [280, 178, 7.905794143676758], [280, 178, 7.905794143676758]]",76
70,"[[340, 363, 89.9903793334961], [285, 214, 8.077847480773926], [285, 214, 8.077847480773926], [285, 214, 8.077847480773926], [285, 214, 8.077847480773926], [286, 192, 8.077847480773926], [286, 192, 8.077847480773926], [286, 192, 8.077847480773926], [289, 151, 8.077847480773926], [292, 116, 7.826338291168213]]",74
71,"[[380, 222, 58.66226577758789], [283, 215, 8.732224464416504], [283, 215, 8.732224464416504], [283, 215, 8.732224464416504], [283, 215, 8.732224464416504], [283, 215, 8.732224464416504], [284, 191, 8.860122680664062], [284, 191, 8.860122680664062], [285, 168, 8.732224464416504], [285, 168, 8.732224464416504]]",78
72,"[[324, 345, 102.70355224609375], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758], [275, 218, 7.905794143676758]]",40
73,"[[385, 276, 21.708393096923828], [290, 152, 8.276573181152344], [290, 152, 8.276573181152344], [290, 152, 8.276573181152344], [290, 152, 8.276573181152344], [290, 152, 8.276573181152344], [292, 129, 8.544103622436523], [292, 129, 8.544103622436523], [292, 129, 8.544103622436523], [292, 129, 8.544103622436523]]",33
74,"[[276, 214, 8.381627082824707], [276, 214, 8.381627082824707], [276, 214, 8.381627082824707], [276, 214, 8.381627082824707], [276, 191, 8.860122680664062], [276, 191, 8.860122680664062], [276, 191, 8.860122680664062], [276, 191, 8.860122680664062], [276, 191, 8.860122680664062], [276, 191, 8.860122680664062]]",16
75,"[[529, 198, 128.79840087890625], [285, 197, 8.381627082824707], [285, 197, 8.381627082824707], [285, 197, 8.381627082824707], [285, 197, 8.381627082824707], [295, 121, 8.276573181152344], [295, 121, 8.276573181152344], [295, 121, 8.276573181152344], [295, 121, 8.276573181152344], [299, 107, 8.276573181152344]]",79
76,"[[445, 311, 17.356653213500977], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [281, 210, 7.905794143676758], [284, 175, 7.615873336791992]]",93
77,"[[434, 428, 25.23183822631836], [272, 210, 8.732224464416504], [272, 210, 8.732224464416504], [272, 210, 8.732224464416504], [272, 210, 8.732224464416504], [274, 188, 9.34087085723877], [274, 188, 9.34087085723877], [274, 188, 9.34087085723877], [274, 188, 9.34087085723877], [276, 166, 9.013978004455566]]",22
78,"[[477, 100, 83.18663787841797], [290, 215, 7.905794143676758], [290, 215, 7.905794143676758], [290, 215, 7.905794143676758], [290, 215, 7.905794143676758], [292, 193, 9.013978004455566], [292, 193, 9.013978004455566], [292, 193, 9.013978004455566], [292, 193, 9.013978004455566], [292, 193, 9.013978004455566]]",100
79,"[[482, 268, 38.28847885131836], [296, 213, 7.615873336791992], [296, 213, 7.615873336791992], [296, 213, 7.615873336791992], [298, 194, 7.905794143676758], [298, 194, 7.905794143676758], [298, 194, 7.905794143676758], [298, 194, 7.905794143676758], [298, 194, 7.905794143676758], [298, 194, 7.905794143676758]]",94
80,"[[461, 403, 25.66211700439453], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [288, 207, 8.381627082824707], [294, 139, 8.276573181152344], [294, 139, 8.276573181152344]]",49
81,"[[396, 22, 11.926960945129395], [291, 209, 7.905794143676758], [291, 209, 7.905794143676758], [291, 209, 7.905794143676758], [291, 209, 7.905794143676758], [293, 189, 8.077847480773926], [293, 189, 8.077847480773926], [293, 189, 8.077847480773926], [293, 189, 8.077847480773926], [293, 189, 8.077847480773926]]",91
82,"[[340, 122, 23.243377685546875], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758], [288, 193, 7.905794143676758]]",52
